2020-06-10 15:06:53.712 The 0-th variable: name is x, valueReference is 0, valueType is 1, valueInit is 1, causality is 8.
2020-06-10 17:09:34.768 The 6-th variable: name is string_in, valueReference is 0, valueType is 5, valueInit is 0, causality is 6.

2020-06-10 17:09:34.768 The 7-th variable: name is string_out, valueReference is 1, valueType is 5, valueInit is 0, causality is 7.

2020-06-10 17:10:04.042 The 0-th variable: name is mLoad, valueReference is 1, valueType is 1, valueInit is 15, causality is 8.

2020-06-10 17:10:04.043 The 1-th variable: name is rLoad[1], valueReference is 2, valueType is 1, valueInit is 0.1, causality is 8.

2020-06-10 17:10:04.043 The 2-th variable: name is rLoad[2], valueReference is 3, valueType is 1, valueInit is 0.25, causality is 8.

2020-06-10 17:10:04.044 The 3-th variable: name is rLoad[3], valueReference is 4, valueType is 1, valueInit is 0.1, causality is 8.

2020-06-10 17:10:04.044 The 4-th variable: name is g, valueReference is 5, valueType is 1, valueInit is 9.810000000000001, causality is 8.

2020-06-10 17:10:04.045 The 5-th variable: name is refStartTime, valueReference is 6, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.045 The 6-th variable: name is refSwingTime, valueReference is 7, valueType is 1, valueInit is 0.5, causality is 8.

2020-06-10 17:10:04.045 The 7-th variable: name is startAngle1, valueReference is 8, valueType is 1, valueInit is -60, causality is 8.

2020-06-10 17:10:04.046 The 8-th variable: name is startAngle2, valueReference is 9, valueType is 1, valueInit is 20, causality is 8.

2020-06-10 17:10:04.046 The 9-th variable: name is startAngle3, valueReference is 10, valueType is 1, valueInit is 90, causality is 8.

2020-06-10 17:10:04.047 The 10-th variable: name is startAngle4, valueReference is 11, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.047 The 11-th variable: name is startAngle5, valueReference is 12, valueType is 1, valueInit is -110, causality is 8.

2020-06-10 17:10:04.048 The 12-th variable: name is startAngle6, valueReference is 13, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.048 The 13-th variable: name is endAngle1, valueReference is 14, valueType is 1, valueInit is 60, causality is 8.

2020-06-10 17:10:04.049 The 14-th variable: name is endAngle2, valueReference is 15, valueType is 1, valueInit is -70, causality is 8.

2020-06-10 17:10:04.049 The 15-th variable: name is endAngle3, valueReference is 16, valueType is 1, valueInit is -35, causality is 8.

2020-06-10 17:10:04.049 The 16-th variable: name is endAngle4, valueReference is 17, valueType is 1, valueInit is 45, causality is 8.

2020-06-10 17:10:04.050 The 17-th variable: name is endAngle5, valueReference is 18, valueType is 1, valueInit is 110, causality is 8.

2020-06-10 17:10:04.050 The 18-th variable: name is endAngle6, valueReference is 19, valueType is 1, valueInit is 45, causality is 8.

2020-06-10 17:10:04.051 The 19-th variable: name is refSpeedMax[1], valueReference is 20, valueType is 1, valueInit is 3, causality is 8.

2020-06-10 17:10:04.051 The 20-th variable: name is refSpeedMax[2], valueReference is 21, valueType is 1, valueInit is 1.5, causality is 8.

2020-06-10 17:10:04.051 The 21-th variable: name is refSpeedMax[3], valueReference is 22, valueType is 1, valueInit is 5, causality is 8.

2020-06-10 17:10:04.052 The 22-th variable: name is refSpeedMax[4], valueReference is 23, valueType is 1, valueInit is 3.1, causality is 8.

2020-06-10 17:10:04.052 The 23-th variable: name is refSpeedMax[5], valueReference is 24, valueType is 1, valueInit is 3.1, causality is 8.

2020-06-10 17:10:04.053 The 24-th variable: name is refSpeedMax[6], valueReference is 25, valueType is 1, valueInit is 4.1, causality is 8.

2020-06-10 17:10:04.053 The 25-th variable: name is refAccMax[1], valueReference is 26, valueType is 1, valueInit is 15, causality is 8.

2020-06-10 17:10:04.054 The 26-th variable: name is refAccMax[2], valueReference is 27, valueType is 1, valueInit is 15, causality is 8.

2020-06-10 17:10:04.054 The 27-th variable: name is refAccMax[3], valueReference is 28, valueType is 1, valueInit is 15, causality is 8.

2020-06-10 17:10:04.054 The 28-th variable: name is refAccMax[4], valueReference is 29, valueType is 1, valueInit is 60, causality is 8.

2020-06-10 17:10:04.055 The 29-th variable: name is refAccMax[5], valueReference is 30, valueType is 1, valueInit is 60, causality is 8.

2020-06-10 17:10:04.055 The 30-th variable: name is refAccMax[6], valueReference is 31, valueType is 1, valueInit is 60, causality is 8.

2020-06-10 17:10:04.056 The 31-th variable: name is kp1, valueReference is 32, valueType is 1, valueInit is 5, causality is 8.

2020-06-10 17:10:04.056 The 32-th variable: name is ks1, valueReference is 33, valueType is 1, valueInit is 0.5, causality is 8.

2020-06-10 17:10:04.056 The 33-th variable: name is Ts1, valueReference is 34, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.057 The 34-th variable: name is kp2, valueReference is 35, valueType is 1, valueInit is 5, causality is 8.

2020-06-10 17:10:04.057 The 35-th variable: name is ks2, valueReference is 36, valueType is 1, valueInit is 0.5, causality is 8.

2020-06-10 17:10:04.058 The 36-th variable: name is Ts2, valueReference is 37, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.058 The 37-th variable: name is kp3, valueReference is 38, valueType is 1, valueInit is 5, causality is 8.

2020-06-10 17:10:04.059 The 38-th variable: name is ks3, valueReference is 39, valueType is 1, valueInit is 0.5, causality is 8.

2020-06-10 17:10:04.059 The 39-th variable: name is Ts3, valueReference is 40, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.060 The 40-th variable: name is kp4, valueReference is 41, valueType is 1, valueInit is 5, causality is 8.

2020-06-10 17:10:04.060 The 41-th variable: name is ks4, valueReference is 42, valueType is 1, valueInit is 0.5, causality is 8.

2020-06-10 17:10:04.061 The 42-th variable: name is Ts4, valueReference is 43, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.061 The 43-th variable: name is kp5, valueReference is 44, valueType is 1, valueInit is 5, causality is 8.

2020-06-10 17:10:04.061 The 44-th variable: name is ks5, valueReference is 45, valueType is 1, valueInit is 0.5, causality is 8.

2020-06-10 17:10:04.062 The 45-th variable: name is Ts5, valueReference is 46, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.062 The 46-th variable: name is kp6, valueReference is 47, valueType is 1, valueInit is 5, causality is 8.

2020-06-10 17:10:04.063 The 47-th variable: name is ks6, valueReference is 48, valueType is 1, valueInit is 0.5, causality is 8.

2020-06-10 17:10:04.063 The 48-th variable: name is Ts6, valueReference is 49, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.064 The 49-th variable: name is mechanics.mLoad, valueReference is 50, valueType is 1, valueInit is 50, causality is 8.

2020-06-10 17:10:04.064 The 50-th variable: name is mechanics.rLoad[1], valueReference is 51, valueType is 1, valueInit is 0.1, causality is 8.

2020-06-10 17:10:04.064 The 51-th variable: name is mechanics.rLoad[2], valueReference is 52, valueType is 1, valueInit is 0.25, causality is 8.

2020-06-10 17:10:04.065 The 52-th variable: name is mechanics.rLoad[3], valueReference is 53, valueType is 1, valueInit is 0.1, causality is 8.

2020-06-10 17:10:04.065 The 53-th variable: name is mechanics.g, valueReference is 54, valueType is 1, valueInit is 9.810000000000001, causality is 8.

2020-06-10 17:10:04.066 The 54-th variable: name is mechanics.world.frame_b.r_0[1], valueReference is 55, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.066 The 55-th variable: name is mechanics.world.frame_b.r_0[2], valueReference is 56, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.066 The 56-th variable: name is mechanics.world.frame_b.r_0[3], valueReference is 57, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.067 The 57-th variable: name is mechanics.world.frame_b.R.T[1, 1], valueReference is 58, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.067 The 58-th variable: name is mechanics.world.frame_b.R.T[1, 2], valueReference is 59, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.068 The 59-th variable: name is mechanics.world.frame_b.R.T[1, 3], valueReference is 60, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.068 The 60-th variable: name is mechanics.world.frame_b.R.T[2, 1], valueReference is 61, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.068 The 61-th variable: name is mechanics.world.frame_b.R.T[2, 2], valueReference is 62, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.069 The 62-th variable: name is mechanics.world.frame_b.R.T[2, 3], valueReference is 63, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.069 The 63-th variable: name is mechanics.world.frame_b.R.T[3, 1], valueReference is 64, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.070 The 64-th variable: name is mechanics.world.frame_b.R.T[3, 2], valueReference is 65, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.070 The 65-th variable: name is mechanics.world.frame_b.R.T[3, 3], valueReference is 66, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.071 The 66-th variable: name is mechanics.world.frame_b.R.w[1], valueReference is 67, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.071 The 67-th variable: name is mechanics.world.frame_b.R.w[2], valueReference is 68, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.071 The 68-th variable: name is mechanics.world.frame_b.R.w[3], valueReference is 69, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.072 The 69-th variable: name is mechanics.world.g, valueReference is 70, valueType is 1, valueInit is 9.810000000000001, causality is 8.

2020-06-10 17:10:04.072 The 70-th variable: name is mechanics.world.n[1], valueReference is 71, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.073 The 71-th variable: name is mechanics.world.n[2], valueReference is 72, valueType is 1, valueInit is -1, causality is 8.

2020-06-10 17:10:04.073 The 72-th variable: name is mechanics.world.n[3], valueReference is 73, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.073 The 73-th variable: name is mechanics.world.mue, valueReference is 74, valueType is 1, valueInit is 398600000000000, causality is 8.

2020-06-10 17:10:04.074 The 74-th variable: name is mechanics.world.axisLength, valueReference is 75, valueType is 1, valueInit is 0.5, causality is 8.

2020-06-10 17:10:04.074 The 75-th variable: name is mechanics.world.axisDiameter, valueReference is 76, valueType is 1, valueInit is 0.0125, causality is 8.

2020-06-10 17:10:04.075 The 76-th variable: name is mechanics.world.gravityArrowTail[1], valueReference is 77, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.075 The 77-th variable: name is mechanics.world.gravityArrowTail[2], valueReference is 78, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.075 The 78-th variable: name is mechanics.world.gravityArrowTail[3], valueReference is 79, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.076 The 79-th variable: name is mechanics.world.gravityArrowLength, valueReference is 80, valueType is 1, valueInit is 0.25, causality is 8.

2020-06-10 17:10:04.076 The 80-th variable: name is mechanics.world.gravityArrowDiameter, valueReference is 81, valueType is 1, valueInit is 0.0125, causality is 8.

2020-06-10 17:10:04.077 The 81-th variable: name is mechanics.world.gravitySphereDiameter, valueReference is 82, valueType is 1, valueInit is 12742000, causality is 8.

2020-06-10 17:10:04.077 The 82-th variable: name is mechanics.world.nominalLength, valueReference is 83, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.078 The 83-th variable: name is mechanics.world.defaultAxisLength, valueReference is 84, valueType is 1, valueInit is 0.2, causality is 8.

2020-06-10 17:10:04.078 The 84-th variable: name is mechanics.world.defaultJointLength, valueReference is 85, valueType is 1, valueInit is 0.1, causality is 8.

2020-06-10 17:10:04.079 The 85-th variable: name is mechanics.world.defaultJointWidth, valueReference is 86, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.079 The 86-th variable: name is mechanics.world.defaultForceLength, valueReference is 87, valueType is 1, valueInit is 0.1, causality is 8.

2020-06-10 17:10:04.080 The 87-th variable: name is mechanics.world.defaultForceWidth, valueReference is 88, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.080 The 88-th variable: name is mechanics.world.defaultBodyDiameter, valueReference is 89, valueType is 1, valueInit is 0.1111111111111111, causality is 8.

2020-06-10 17:10:04.080 The 89-th variable: name is mechanics.world.defaultWidthFraction, valueReference is 90, valueType is 1, valueInit is 20, causality is 8.

2020-06-10 17:10:04.081 The 90-th variable: name is mechanics.world.defaultArrowDiameter, valueReference is 91, valueType is 1, valueInit is 0.025, causality is 8.

2020-06-10 17:10:04.081 The 91-th variable: name is mechanics.world.defaultFrameDiameterFraction, valueReference is 92, valueType is 1, valueInit is 40, causality is 8.

2020-06-10 17:10:04.082 The 92-th variable: name is mechanics.world.defaultSpecularCoefficient, valueReference is 93, valueType is 1, valueInit is 0.7, causality is 8.

2020-06-10 17:10:04.082 The 93-th variable: name is mechanics.world.defaultN_to_m, valueReference is 94, valueType is 1, valueInit is 1000, causality is 8.

2020-06-10 17:10:04.082 The 94-th variable: name is mechanics.world.defaultNm_to_m, valueReference is 95, valueType is 1, valueInit is 1000, causality is 8.

2020-06-10 17:10:04.083 The 95-th variable: name is mechanics.r1.support.phi, valueReference is 105, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.083 The 96-th variable: name is mechanics.r1.support.tau, valueReference is 106, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.084 The 97-th variable: name is mechanics.r1.frame_a.r_0[1], valueReference is 107, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.084 The 98-th variable: name is mechanics.r1.frame_a.r_0[2], valueReference is 108, valueType is 1, valueInit is 0.351, causality is 8.

2020-06-10 17:10:04.085 The 99-th variable: name is mechanics.r1.frame_a.r_0[3], valueReference is 109, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.085 The 100-th variable: name is mechanics.r1.frame_a.R.T[1, 1], valueReference is 110, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.085 The 101-th variable: name is mechanics.r1.frame_a.R.T[1, 2], valueReference is 111, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.086 The 102-th variable: name is mechanics.r1.frame_a.R.T[1, 3], valueReference is 112, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.086 The 103-th variable: name is mechanics.r1.frame_a.R.T[2, 1], valueReference is 113, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.087 The 104-th variable: name is mechanics.r1.frame_a.R.T[2, 2], valueReference is 114, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.087 The 105-th variable: name is mechanics.r1.frame_a.R.T[2, 3], valueReference is 115, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.088 The 106-th variable: name is mechanics.r1.frame_a.R.T[3, 1], valueReference is 116, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.088 The 107-th variable: name is mechanics.r1.frame_a.R.T[3, 2], valueReference is 117, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.089 The 108-th variable: name is mechanics.r1.frame_a.R.T[3, 3], valueReference is 118, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.089 The 109-th variable: name is mechanics.r1.frame_a.R.w[1], valueReference is 119, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.090 The 110-th variable: name is mechanics.r1.frame_a.R.w[2], valueReference is 120, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.090 The 111-th variable: name is mechanics.r1.frame_a.R.w[3], valueReference is 121, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.090 The 112-th variable: name is mechanics.r1.frame_b.r_0[1], valueReference is 122, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.091 The 113-th variable: name is mechanics.r1.frame_b.r_0[2], valueReference is 123, valueType is 1, valueInit is 0.351, causality is 8.

2020-06-10 17:10:04.091 The 114-th variable: name is mechanics.r1.frame_b.r_0[3], valueReference is 124, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.092 The 115-th variable: name is mechanics.r1.frame_b.R.T[1, 2], valueReference is 125, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.092 The 116-th variable: name is mechanics.r1.frame_b.R.T[2, 1], valueReference is 126, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.092 The 117-th variable: name is mechanics.r1.frame_b.R.T[2, 2], valueReference is 127, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.093 The 118-th variable: name is mechanics.r1.frame_b.R.T[2, 3], valueReference is 128, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.093 The 119-th variable: name is mechanics.r1.frame_b.R.T[3.1], valueReference is 129, valueType is 1, valueInit is -0.8660254037844386, causality is 8.

2020-06-10 17:10:04.094 The 120-th variable: name is mechanics.r1.frame_b.R.T[3, 2], valueReference is 130, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.094 The 121-th variable: name is mechanics.r1.frame_b.R.T[3, 3], valueReference is 131, valueType is 1, valueInit is 0.5000000000000001, causality is 8.

2020-06-10 17:10:04.095 The 122-th variable: name is mechanics.r1.frame_b.R.w[1], valueReference is 132, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.095 The 123-th variable: name is mechanics.r1.frame_b.R.w[3], valueReference is 133, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.096 The 124-th variable: name is mechanics.r1.frame_b.f[1], valueReference is 134, valueType is 1, valueInit is -3.14004185325578, causality is 8.

2020-06-10 17:10:04.096 The 125-th variable: name is mechanics.r1.frame_b.f[3], valueReference is 135, valueType is 1, valueInit is 3.94229795029969, causality is 8.

2020-06-10 17:10:04.096 The 126-th variable: name is mechanics.r1.frame_b.t[1], valueReference is 136, valueType is 1, valueInit is 1274.102507157432, causality is 8.

2020-06-10 17:10:04.097 The 127-th variable: name is mechanics.r1.frame_b.t[2], valueReference is 137, valueType is 1, valueInit is -7.105427357601002e-015, causality is 8.

2020-06-10 17:10:04.097 The 128-th variable: name is mechanics.r1.frame_b.t[3], valueReference is 138, valueType is 1, valueInit is -158.1552521264542, causality is 8.

2020-06-10 17:10:04.098 The 129-th variable: name is mechanics.r1.n[1], valueReference is 139, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.098 The 130-th variable: name is mechanics.r1.n[2], valueReference is 140, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.098 The 131-th variable: name is mechanics.r1.n[3], valueReference is 141, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.099 The 132-th variable: name is mechanics.r1.phi_offset, valueReference is 142, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.099 The 133-th variable: name is mechanics.r1.cylinderLength, valueReference is 143, valueType is 1, valueInit is 0.1, causality is 8.

2020-06-10 17:10:04.100 The 134-th variable: name is mechanics.r1.cylinderDiameter, valueReference is 144, valueType is 1, valueInit is 0.05, causality is 8.

2020-06-10 17:10:04.100 The 135-th variable: name is mechanics.r1.phi, valueReference is 145, valueType is 1, valueInit is -1.047197551196598, causality is 8.

2020-06-10 17:10:04.101 The 136-th variable: name is mechanics.r1.w, valueReference is 146, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.101 The 137-th variable: name is mechanics.r2.support.phi, valueReference is 216, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.101 The 138-th variable: name is mechanics.r2.support.tau, valueReference is 217, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.102 The 139-th variable: name is mechanics.r2.frame_a.r_0[2], valueReference is 218, valueType is 1, valueInit is 0.675, causality is 8.

2020-06-10 17:10:04.102 The 140-th variable: name is mechanics.r2.frame_a.R.T[1, 2], valueReference is 219, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.103 The 141-th variable: name is mechanics.r2.frame_a.R.T[2, 1], valueReference is 220, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.103 The 142-th variable: name is mechanics.r2.frame_a.R.T[2, 2], valueReference is 221, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.103 The 143-th variable: name is mechanics.r2.frame_a.R.T[2, 3], valueReference is 222, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.104 The 144-th variable: name is mechanics.r2.frame_a.R.T[3, 2], valueReference is 223, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.104 The 145-th variable: name is mechanics.r2.frame_a.R.w[1], valueReference is 224, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.105 The 146-th variable: name is mechanics.r2.frame_a.R.w[3], valueReference is 225, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.105 The 147-th variable: name is mechanics.r2.frame_b.r_0[2], valueReference is 226, valueType is 1, valueInit is 0.675, causality is 8.

2020-06-10 17:10:04.105 The 148-th variable: name is mechanics.r2.frame_b.R.T[1, 2], valueReference is 227, valueType is 1, valueInit is 0, causality is 8.

2020-06-10 17:10:04.106 The 149-th variable: name is mechanics.r2.frame_b.R.T[2, 1], valueReference is 228, valueType is 1, valueInit is -0.2961981327260238, causality is 8.

2020-06-10 17:10:04.106 The 150-th variable: name is mechanics.r2.frame_b.R.T[2, 3], valueReference is 229, valueType is 1, valueInit is 0.1710100716628344, causality is 8.

2020-06-10 17:10:04.107 The 151-th variable: name is mechanics.r2.frame_b.R.T[3, 1], valueReference is 230, valueType is 1, valueInit is -0.8137976813493737, causality is 8.

2020-06-10 17:10:04.108 The 152-th variable: name is mechanics.r2.frame_b.R.T[3, 3], valueReference is 231, valueType is 1, valueInit is 0.4698463103929543, causality is 8.

2020-06-10 17:10:04.108 The 153-th variable: name is mechanics.r2.frame_b.f[2], valueReference is 232, valueType is 1, valueInit is -1532.848398770065, causality is 8.

2020-06-10 17:10:04.108 The 154-th variable: name is mechanics.r2.frame_b.f[3], valueReference is 233, valueType is 1, valueInit is 562.1064966460998, causality is 8.

2020-06-10 17:10:04.109 The 155-th variable: name is mechanics.r2.frame_b.t[1], valueReference is 234, valueType is 1, valueInit is 783.0277805250607, causality is 8.

2020-06-10 17:10:04.109 The 156-th variable: name is mechanics.r2.frame_b.t[2], valueReference is 235, valueType is 1, valueInit is -53.37560787444511, causality is 8.

2020-06-10 17:10:04.110 The 157-th variable: name is mechanics.r2.frame_b.t[3], valueReference is 236, valueType is 1, valueInit is -149.9608377404743, causality is 8.

2020-06-10 17:10:04.110 The 158-th variable: name is mechanics.r2.n[1], valueReference is 237, valueType is 1, valueInit is 1, causality is 8.

2020-06-10 17:10:04.111 The 159-th variable: name is mechanics.r2.n[2], valueReference is 238, valueType is 1, valueInit is 0, causality is 8.

